number,name,category,frequency,coverage,syns
638,market-outdoor-s,scene(29),29,29.000000,
639,subway_interior-s,scene(29),29,29.000000,
640,curtains,object(29),29,2.553225,
641,porch,object(20);part(9),29,2.028728,
642,bottle rack,object(23);part(6),29,1.636290,
643,duck,object(29),29,1.435228,
644,gas pump,object(27);part(2),29,1.072156,petrol pump;gasoline pump;island dispenser
645,bus_interior-s,scene(28),28,28.000000,
646,doorway-indoor-s,scene(28),28,28.000000,
647,alcove-s,scene(28),28,28.000000,
648,pulpit,object(28),28,3.746588,
649,ramp,object(27);part(1),28,1.533769,
650,access_road-s,scene(27),27,27.000000,
651,landing_deck-s,scene(27),27,27.000000,
652,archive-s,scene(27),27,27.000000,
653,leaves,object(26);part(1),27,3.945357,
654,slope,object(27),27,3.473795,
655,helicopter,object(26);part(1),27,2.960915,
656,podium,object(27),27,1.594827,
657,steering wheel,object(21);part(6),27,1.324942,
658,finger,object(26);part(1),27,0.959838,
659,monument,object(27),27,0.757120,
660,trailer,object(27),27,0.745415,
661,gymnasium-indoor-s,scene(26),26,26.000000,
662,waterfall-block-s,scene(26),26,26.000000,
663,windmill,object(26),26,4.083071,wind generator;aerogenerator
664,pool,object(26),26,2.848996,
665,water tower,object(26),26,2.589052,
666,folding screen,object(26),26,2.578793,
667,workbench,object(26),26,2.404036,
668,brushes,object(26),26,1.593852,
669,leaf,object(24);part(2),26,0.943816,leafage
670,scoreboard,object(26),26,0.781014,
671,cathedral-indoor-s,scene(25),25,25.000000,
672,office_building-s,scene(25),25,25.000000,
673,baggage_claim-s,scene(25),25,25.000000,
674,badlands-s,scene(25),25,25.000000,
675,forest_path-s,scene(25),25,25.000000,
676,home_theater-s,scene(25),25,25.000000,
677,ocean-s,scene(25),25,25.000000,
678,ice rink,object(25),25,10.325039,
679,carport,object(25),25,5.426910,
680,gravestone,object(25),25,3.874776,tombstone;headstone
681,straw,object(25),25,3.692262,
682,horse-drawn carriage,object(25),25,3.176362,
683,tunnel,object(25),25,3.096331,
684,cannon,object(25),25,3.090529,
685,tumble dryer,object(25),25,2.314526,
686,fastfood_restaurant-s,scene(24),24,24.000000,
687,gas_station-s,scene(24),24,24.000000,
688,church-indoor-s,scene(24),24,24.000000,
689,harbor-s,scene(24),24,24.000000,
690,amusement_arcade-s,scene(24),24,24.000000,
691,poolroom-establishment-s,scene(24),24,24.000000,
692,bowling_alley-s,scene(24),24,24.000000,
693,auto_showroom-s,scene(24),24,24.000000,
694,library-indoor-s,scene(24),24,24.000000,
695,restaurant-s,scene(24),24,24.000000,
696,toyshop-s,scene(24),24,24.000000,
697,dentists_office-s,scene(24),24,24.000000,
698,altarpiece,object(24),24,3.989090,reredos
699,shelter,object(24),24,3.966734,
700,pond,object(24),24,3.207967,
701,windscreen,object(24),24,1.268958,
702,wheelchair,object(24),24,0.879197,
703,coat,object(24),24,0.834525,
704,planter,object(24),24,0.725353,
705,player,object(24),24,0.568943,
706,bow_window-outdoor-s,scene(23),23,23.000000,
707,driveway-s,scene(23),23,23.000000,
708,fairway-s,scene(23),23,23.000000,
709,courthouse-s,scene(23),23,23.000000,
710,yard-s,scene(23),23,23.000000,
711,theater-indoor_procenium-s,scene(23),23,23.000000,
712,parking_garage-indoor-s,scene(23),23,23.000000,
713,construction_site-s,scene(23),23,23.000000,
714,carousel,object(23),23,10.883705,
715,display window,object(23),23,4.681557,shopwindow;show window
716,elevator door,object(23),23,4.545421,
717,shop,object(23),23,3.487142,store
718,roundabout,object(23),23,1.644099,
719,blinds,object(21);part(2),23,1.453959,
720,slide,object(16);part(7),23,0.731796,
721,amphitheater-s,scene(22),22,22.000000,
722,ball_pit-s,scene(22),22,22.000000,
723,desert-sand-s,scene(22),22,22.000000,
724,control_tower-outdoor-s,scene(22),22,22.000000,
725,cubicle-office-s,scene(22),22,22.000000,
726,computer_room-s,scene(22),22,22.000000,
727,kindergarden_classroom-s,scene(22),22,22.000000,
728,water_tower-s,scene(22),22,22.000000,
729,campus-s,scene(22),22,22.000000,
730,airplane_cabin-s,scene(22),22,22.000000,
731,music_studio-s,scene(22),22,22.000000,
732,aquarium,object(22),22,7.572043,fish tank;marine museum
733,ruins,object(22),22,7.390124,
734,instrument panel,object(22),22,7.141073,
735,ring,object(22),22,5.280384,
736,table game,object(22),22,2.663581,
737,television camera,object(22),22,2.076441,
738,control tower,object(21);part(1),22,1.472660,
739,goal,object(22),22,0.771520,
740,delicatessen-s,scene(21),21,21.000000,
741,swimming_pool-outdoor-s,scene(21),21,21.000000,
742,cloister-indoor-s,scene(21),21,21.000000,
743,wine_cellar-barrel_storage-s,scene(21),21,21.000000,
744,restaurant_patio-s,scene(21),21,21.000000,
745,weighbridge-s,scene(21),21,21.000000,
746,shopping_mall-indoor-s,scene(21),21,21.000000,
747,berth-s,scene(21),21,21.000000,
748,bird cage,object(21),21,9.252578,
749,aqueduct,object(21),21,5.744730,
750,weighbridge,object(21),21,1.928124,
751,bedpost,part(21),21,0.878351,
752,terrace,part(21),21,0.658086,
753,geodesic_dome-outdoor-s,scene(20),20,20.000000,
754,swimming_pool-indoor-s,scene(20),20,20.000000,
755,waterfall-fan-s,scene(20),20,20.000000,
756,ice_skating_rink-indoor-s,scene(20),20,20.000000,
757,cemetery-s,scene(20),20,20.000000,
758,windmill-s,scene(20),20,20.000000,
759,videostore-s,scene(20),20,20.000000,
760,reading_room-s,scene(20),20,20.000000,
761,folding door,object(19);part(1),20,5.048509,
762,stands,object(20),20,2.492283,
763,revolving door,part(15);object(5),20,2.003199,
764,mill,object(20),20,0.934403,
765,movie_theater-indoor-s,scene(19),19,19.000000,
766,sauna-s,scene(19),19,19.000000,
767,day_care_center-s,scene(19),19,19.000000,
768,dining_car-s,scene(19),19,19.000000,
769,jail_cell-s,scene(19),19,19.000000,
770,mansion-s,scene(19),19,19.000000,
771,courtroom-s,scene(19),19,19.000000,
772,atrium-public-s,scene(19),19,19.000000,
773,pantry,object(19),19,7.979020,
774,bandstand,object(19),19,3.906674,
775,videos,object(19),19,3.134336,
776,sand trap,object(19),19,2.613025,
777,organ,object(19),19,2.528286,
778,synthesizer,object(19),19,1.098436,
779,planks,object(19),19,0.909821,
780,pictures,object(19),19,0.755794,
781,parterre,object(19),19,0.711206,
782,doorway-outdoor-s,scene(18),18,18.000000,
783,campsite-s,scene(18),18,18.000000,
784,shower-s,scene(18),18,18.000000,
785,florist_shop-indoor-s,scene(18),18,18.000000,
786,hospital_room-s,scene(18),18,18.000000,
787,inn-indoor-s,scene(18),18,18.000000,
788,church-outdoor-s,scene(18),18,18.000000,
789,lecture_room-s,scene(18),18,18.000000,
790,mosque-outdoor-s,scene(18),18,18.000000,
791,aqueduct-s,scene(18),18,18.000000,
792,lockers,object(18),18,4.996399,
793,service station,object(18),18,4.949502,
794,trench,object(18),18,4.105099,
795,barrels,object(18),18,3.517634,
796,box office,object(18),18,2.929208,ticket booth;ticket office
797,binder,object(18),18,1.966700,ring-binder
798,cabin,object(18),18,1.796064,
799,forklift,object(18),18,1.298578,
800,doors,part(18),18,0.924083,
801,pavilion,object(18),18,0.581095,
802,forest_road-s,scene(17),17,17.000000,
803,cabin-outdoor-s,scene(17),17,17.000000,
804,operating_room-s,scene(17),17,17.000000,
805,inn-outdoor-s,scene(17),17,17.000000,
806,greenhouse,object(17),17,7.321889,
807,caravan,object(17),17,3.907702,
808,berth,object(17),17,3.809404,
809,trellis,object(17),17,2.373668,
810,tomb,object(17),17,2.054941,
811,structure,object(17),17,1.288003,
812,plastic,object(17),17,0.944653,
813,parasol,object(17),17,0.703809,
814,sandbox-s,scene(16),16,16.000000,
815,shopfront-s,scene(16),16,16.000000,
816,planetarium-outdoor-s,scene(16),16,16.000000,
817,snowfield-s,scene(16),16,16.000000,
818,hayfield-s,scene(16),16,16.000000,
819,carrousel-s,scene(16),16,16.000000,
820,botanical_garden-s,scene(16),16,16.000000,
821,barn-s,scene(16),16,16.000000,
822,locker_room-s,scene(16),16,16.000000,
823,crosswalk-s,scene(16),16,16.000000,
824,television_studio-s,scene(16),16,16.000000,
825,islet-s,scene(16),16,16.000000,
826,slum-s,scene(16),16,16.000000,
827,dam,object(16),16,3.795631,
828,tracks,object(16),16,2.144012,
829,hay,object(16),16,1.991587,
830,hen,object(16),16,1.189333,biddy
831,recycling bin,object(16),16,0.809758,
832,disc case,object(16),16,0.794966,
833,diner-outdoor-s,scene(15),15,15.000000,
834,ski_resort-s,scene(15),15,15.000000,
835,monastery-outdoor-s,scene(15),15,15.000000,
836,village-s,scene(15),15,15.000000,
837,hunting_lodge-outdoor-s,scene(15),15,15.000000,
838,marsh-s,scene(15),15,15.000000,
839,fountain-s,scene(15),15,15.000000,
840,subway_station-corridor-s,scene(15),15,15.000000,
841,kitchenette-s,scene(15),15,15.000000,
842,corn_field-s,scene(15),15,15.000000,
843,kasbah-s,scene(15),15,15.000000,
844,auto_factory-s,scene(15),15,15.000000,
845,martial_arts_gym-s,scene(15),15,15.000000,
846,balcony-exterior-s,scene(15),15,15.000000,
847,courtyard-s,scene(15),15,15.000000,
848,chicken_coop-outdoor-s,scene(15),15,15.000000,
849,rope_bridge-s,scene(15),15,15.000000,
850,shanties,object(15),15,4.390357,
851,wave,part(15),15,3.399282,
852,machinery,object(15),15,2.268414,
853,dashboard,object(15),15,2.266062,
854,dental chair,object(15),15,1.625114,
855,parking,object(15),15,1.170657,
856,sewing machine,object(15),15,0.546058,
857,rifle,object(15),15,0.530821,
858,kiosk-indoor-s,scene(14),14,14.000000,
859,outhouse-outdoor-s,scene(14),14,14.000000,
860,stage-indoor-s,scene(14),14,14.000000,
861,art_school-s,scene(14),14,14.000000,
862,viaduct-s,scene(14),14,14.000000,
863,bleachers-outdoor-s,scene(14),14,14.000000,
864,pulpit-s,scene(14),14,14.000000,
865,garage-outdoor-s,scene(14),14,14.000000,
866,corral-s,scene(14),14,14.000000,
867,farm-s,scene(14),14,14.000000,
868,baptistry-outdoor-s,scene(14),14,14.000000,
869,wheat_field-s,scene(14),14,14.000000,
870,arch-s,scene(14),14,14.000000,
871,moor-s,scene(14),14,14.000000,
872,hospital-s,scene(14),14,14.000000,
873,runway-s,scene(14),14,14.000000,
874,donjon-s,scene(14),14,14.000000,
875,ruin-s,scene(14),14,14.000000,
876,canyon-s,scene(14),14,14.000000,
877,escalator-indoor-s,scene(14),14,14.000000,
878,airport-s,scene(14),14,14.000000,airport-airport-s
879,desert,object(14),14,5.797717,
880,henhouse,object(14),14,5.688257,
881,tennis court,object(14),14,5.190172,
882,shed,object(14),14,3.701473,
883,bird feeder,object(14),14,2.586232,
884,washing machines,object(14),14,2.326648,
885,watchtower,object(14),14,2.215369,
886,shops,object(14),14,2.001018,
887,ride,object(14),14,1.976233,
888,telescope,object(14),14,1.478496,
889,slats,part(14),14,1.005689,
890,drum,object(14),14,0.870521,
891,fire,object(8);material(6),14,0.727931,
892,oar,object(14),14,0.640516,
893,breads,object(14),14,0.542863,
894,town_house-s,scene(13),13,13.000000,
895,bank-outdoor-s,scene(13),13,13.000000,
896,medina-s,scene(13),13,13.000000,
897,candy_store-s,scene(13),13,13.000000,
898,palace-s,scene(13),13,13.000000,
899,mountain_path-s,scene(13),13,13.000000,
900,fire_escape-s,scene(13),13,13.000000,
901,dolmen-s,scene(13),13,13.000000,
902,dacha-s,scene(13),13,13.000000,
903,jail-indoor-s,scene(13),13,13.000000,
904,car_interior-backseat-s,scene(13),13,13.000000,
905,jewelry_shop-s,scene(13),13,13.000000,
906,bus_depot-outdoor-s,scene(13),13,13.000000,
907,embassy-s,scene(13),13,13.000000,
908,elevator-interior-s,scene(13),13,13.000000,
909,cavern-indoor-s,scene(13),13,13.000000,
910,casino-outdoor-s,scene(13),13,13.000000,
911,kennel-indoor-s,scene(13),13,13.000000,
912,cathedral-outdoor-s,scene(13),13,13.000000,
913,vegetable_garden-s,scene(13),13,13.000000,
914,hot_spring-s,scene(13),13,13.000000,
915,sandbar-s,scene(13),13,13.000000,
916,observatory-outdoor-s,scene(13),13,13.000000,
917,desert-vegetation-s,scene(13),13,13.000000,
918,conference_center-s,scene(13),13,13.000000,
919,covered_bridge-exterior-s,scene(13),13,13.000000,
920,semidesert ground,object(13),13,5.402917,
921,grille door,object(12);part(1),13,2.817445,
922,roller coaster,object(13),13,2.481884,
923,water wheel,object(13),13,1.861565,
924,barbecue,object(13),13,1.551819,
925,bulldozer,object(13),13,1.533650,
926,steam shovel,object(13),13,1.365520,
927,gravel,object(13),13,0.960121,
928,meter,object(13),13,0.659250,
929,excavator,object(13),13,0.627078,
930,irrigation_ditch-s,scene(12),12,12.000000,
931,dam-s,scene(12),12,12.000000,
932,ranch_house-s,scene(12),12,12.000000,
933,ranch-s,scene(12),12,12.000000,
934,carport-outdoor-s,scene(12),12,12.000000,
935,ghost_town-s,scene(12),12,12.000000,
936,canal-urban-s,scene(12),12,12.000000,
937,booth-indoor-s,scene(12),12,12.000000,
938,hotel-outdoor-s,scene(12),12,12.000000,
939,boxing_ring-s,scene(12),12,12.000000,
940,stadium-baseball-s,scene(12),12,12.000000,
941,fence-s,scene(12),12,12.000000,
942,airport-entrance-s,scene(12),12,12.000000,
943,excavation-s,scene(12),12,12.000000,
944,ice_cream_parlor-s,scene(12),12,12.000000,
945,student_residence-s,scene(12),12,12.000000,
946,motel-s,scene(12),12,12.000000,
947,sacristy-s,scene(12),12,12.000000,
948,lift_bridge-s,scene(12),12,12.000000,
949,junk_pile-s,scene(12),12,12.000000,
950,hangar-indoor-s,scene(12),12,12.000000,
951,flood-s,scene(12),12,12.000000,
952,wrestling_ring-indoor-s,scene(12),12,12.000000,
953,ski_slope-s,scene(12),12,12.000000,
954,fitting_room-exterior-s,scene(12),12,12.000000,
955,crevasse-s,scene(12),12,12.000000,
956,elevator_lobby-s,scene(12),12,12.000000,
957,estuary-s,scene(12),12,12.000000,
958,bazaar-indoor-s,scene(12),12,12.000000,
959,subway_station-platform-s,scene(12),12,12.000000,
960,wine_cellar-bottle_storage-s,scene(12),12,12.000000,
961,watchtower-s,scene(12),12,12.000000,
962,kennel-outdoor-s,scene(12),12,12.000000,
963,boathouse-s,scene(12),12,12.000000,
964,greenhouse-outdoor-s,scene(12),12,12.000000,
965,fitting_room-interior-s,scene(12),12,12.000000,
966,vineyard-s,scene(12),12,12.000000,
967,oast_house-s,scene(12),12,12.000000,
968,moat-water-s,scene(12),12,12.000000,
969,kiosk-outdoor-s,scene(12),12,12.000000,
970,convenience_store-outdoor-s,scene(12),12,12.000000,
971,nuclear_power_plant-outdoor-s,scene(12),12,12.000000,
972,podium-indoor-s,scene(12),12,12.000000,
973,orchard-s,scene(12),12,12.000000,
974,movie_theater-outdoor-s,scene(12),12,12.000000,
975,mountain_road-s,scene(12),12,12.000000,
976,temple-east_asia-s,scene(12),12,12.000000,
977,badminton_court-outdoor-s,scene(12),12,12.000000,
978,vineyard,object(12),12,5.743847,
979,rubble,object(12),12,4.625137,
980,badlands,object(12),12,4.162481,
981,forest,object(12),12,3.115081,
982,ticket counter,object(12),12,2.786737,
983,stalls,object(12),12,2.209667,
984,shower curtain,object(12),12,1.431235,
985,village,object(12),12,1.329398,
986,safety side,part(12),12,1.287111,
987,gas station,object(12),12,1.131538,
988,niche,object(12),12,0.983893,
989,check-in-desk,object(12),12,0.979007,
990,set of instruments,object(12),12,0.831476,
991,bread rolls,object(12),12,0.634061,
992,coffee_shop-s,scene(11),11,11.000000,
993,labyrinth-indoor-s,scene(11),11,11.000000,
994,lawn-s,scene(11),11,11.000000,
995,beach_house-s,scene(11),11,11.000000,
996,escalator-outdoor-s,scene(11),11,11.000000,
997,chalet-s,scene(11),11,11.000000,
998,baseball_field-s,scene(11),11,11.000000,
999,sun_deck-s,scene(11),11,11.000000,
1000,guardhouse-s,scene(11),11,11.000000,
1001,hut-s,scene(11),11,11.000000,
1002,flight_of_stairs-urban-s,scene(11),11,11.000000,
1003,waterfall-cascade-s,scene(11),11,11.000000,
1004,general_store-outdoor-s,scene(11),11,11.000000,
1005,mine-s,scene(11),11,11.000000,
1006,herb_garden-s,scene(11),11,11.000000,
1007,mosque-indoor-s,scene(11),11,11.000000,
1008,lagoon-s,scene(11),11,11.000000,
1009,topiary_garden-s,scene(11),11,11.000000,
1010,industrial_area-s,scene(11),11,11.000000,
1011,shed-s,scene(11),11,11.000000,
1012,pagoda-s,scene(11),11,11.000000,
1013,water_mill-s,scene(11),11,11.000000,
1014,elevator-door-s,scene(11),11,11.000000,
1015,cloister-outdoor-s,scene(11),11,11.000000,
1016,butchers_shop-s,scene(11),11,11.000000,
1017,apse-indoor-s,scene(11),11,11.000000,
1018,ice_skating_rink-outdoor-s,scene(11),11,11.000000,
1019,synagogue-outdoor-s,scene(11),11,11.000000,
1020,assembly_line-s,scene(11),11,11.000000,
1021,manufactured_home-s,scene(11),11,11.000000,
1022,firing_range-outdoor-s,scene(11),11,11.000000,
1023,barbershop-s,scene(11),11,11.000000,
1024,cottage_garden-s,scene(11),11,11.000000,
1025,hacienda-s,scene(11),11,11.000000,
1026,industrial_park-s,scene(11),11,11.000000,
1027,workshop-s,scene(11),11,11.000000,
1028,dugout-s,scene(11),11,11.000000,
1029,hat_shop-s,scene(11),11,11.000000,
1030,elevator-freight_elevator-s,scene(11),11,11.000000,
1031,spa-massage_room-s,scene(11),11,11.000000,
1032,savanna-s,scene(11),11,11.000000,
1033,bank-indoor-s,scene(11),11,11.000000,
1034,oasis-s,scene(11),11,11.000000,
1035,witness_stand-s,scene(11),11,11.000000,
1036,road_cut-s,scene(11),11,11.000000,
1037,volleyball_court-outdoor-s,scene(11),11,11.000000,
1038,anechoic_chamber-s,scene(11),11,11.000000,
1039,train_station-outdoor-s,scene(11),11,11.000000,
1040,canal-natural-s,scene(11),11,11.000000,
1041,parking_garage-outdoor-s,scene(11),11,11.000000,
1042,food_court-s,scene(11),11,11.000000,
1043,downtown-s,scene(11),11,11.000000,
1044,driving_range-outdoor-s,scene(11),11,11.000000,
1045,catwalk-s,scene(11),11,11.000000,
1046,market-indoor-s,scene(11),11,11.000000,
1047,carport-freestanding-s,scene(11),11,11.000000,
1048,elevator_shaft-s,scene(11),11,11.000000,
1049,moon_bounce-s,scene(11),11,11.000000,
1050,formal_garden-s,scene(11),11,11.000000,
1051,cargo_container_interior-s,scene(11),11,11.000000,
1052,bog-s,scene(11),11,11.000000,
1053,airport_ticket_counter-s,scene(11),11,11.000000,
1054,lido_deck-outdoor-s,scene(11),11,11.000000,
1055,military_hut-s,scene(11),11,11.000000,
1056,baptistry-indoor-s,scene(11),11,11.000000,
1057,bullring-s,scene(11),11,11.000000,
1058,library-outdoor-s,scene(11),11,11.000000,
1059,inflatable bounce game,object(11),11,5.700278,
1060,temple,object(11),11,5.390753,
1061,bowling alley,object(11),11,3.038825,
1062,mosque,object(11),11,3.006266,
1063,skittle alley,object(11),11,2.967463,
1064,sandbox,object(11),11,2.936524,
1065,catwalk,object(11),11,2.920685,
1066,big top,object(11),11,2.815503,
1067,iceberg,object(11),11,2.468110,
1068,viaduct,object(11),11,2.365496,
1069,fog bank,object(11),11,2.343292,
1070,parking lot,object(11),11,1.765570,
1071,trestle,object(11),11,1.621239,
1072,table cloth,object(11),11,0.913983,
1073,tables,object(11),11,0.760010,
1074,pigeonhole,object(11),11,0.725514,
1075,cactus,object(11),11,0.686069,
1076,bathrobe,object(11),11,0.672012,
1077,rudder,object(10);part(1),11,0.601728,
1078,crate,object(11),11,0.575515,
1079,quay,object(11),11,0.560911,
1080,hand cart,object(11),11,0.536631,
1081,candies,object(11),11,0.524987,
1082,control_tower-indoor-s,scene(10),10,10.000000,
1083,mausoleum-s,scene(10),10,10.000000,
1084,liquor_store-indoor-s,scene(10),10,10.000000,
1085,choir_loft-exterior-s,scene(10),10,10.000000,
1086,chapel-s,scene(10),10,10.000000,
1087,jacuzzi-outdoor-s,scene(10),10,10.000000,
1088,hot_tub-outdoor-s,scene(10),10,10.000000,
1089,imaret-s,scene(10),10,10.000000,
1090,heliport-s,scene(10),10,10.000000,
1091,dirt_track-s,scene(10),10,10.000000,
1092,batters_box-s,scene(10),10,10.000000,
1093,quadrangle-s,scene(10),10,10.000000,
1094,liquor_store-outdoor-s,scene(10),10,10.000000,
1095,bazaar-outdoor-s,scene(10),10,10.000000,
1096,hoodoo-s,scene(10),10,10.000000,
1097,dining_hall-s,scene(10),10,10.000000,
1098,banquet_hall-s,scene(10),10,10.000000,
1099,basketball_court-outdoor-s,scene(10),10,10.000000,
1100,gulch-s,scene(10),10,10.000000,
1101,granary-s,scene(10),10,10.000000,
1102,pilothouse-indoor-s,scene(10),10,10.000000,
1103,natural_history_museum-s,scene(10),10,10.000000,
1104,bakery-kitchen-s,scene(10),10,10.000000,
1105,cottage-s,scene(10),10,10.000000,
1106,cabana-s,scene(10),10,10.000000,
1107,landing-s,scene(10),10,10.000000,
1108,signal_box-s,scene(10),10,10.000000,
1109,checkout_counter-s,scene(10),10,10.000000,
1110,labyrinth-outdoor-s,scene(10),10,10.000000,
1111,bus_shelter-s,scene(10),10,10.000000,
1112,zen_garden-s,scene(10),10,10.000000,
1113,fishpond-s,scene(10),10,10.000000,
1114,gift_shop-s,scene(10),10,10.000000,
1115,watering_hole-s,scene(10),10,10.000000,
1116,hot_tub-indoor-s,scene(10),10,10.000000,
1117,call_center-s,scene(10),10,10.000000,
1118,air_base-s,scene(10),10,10.000000,
1119,manhole-s,scene(10),10,10.000000,
1120,joss_house-s,scene(10),10,10.000000,
1121,badminton_court-indoor-s,scene(10),10,10.000000,
1122,fjord-s,scene(10),10,10.000000,
1123,limousine_interior-s,scene(10),10,10.000000,
1124,backstairs-s,scene(10),10,10.000000,
1125,moat-dry-s,scene(10),10,10.000000,
1126,cardroom-s,scene(10),10,10.000000,
1127,brewery-outdoor-s,scene(10),10,10.000000,
1128,loading_dock-s,scene(10),10,10.000000,
1129,clean_room-s,scene(10),10,10.000000,
1130,convenience_store-indoor-s,scene(10),10,10.000000,
1131,barnyard-s,scene(10),10,10.000000,
1132,car_dealership-s,scene(10),10,10.000000,
1133,tearoom-s,scene(10),10,10.000000,
1134,museum-outdoor-s,scene(10),10,10.000000,
1135,fire_station-s,scene(10),10,10.000000,
1136,bedchamber-s,scene(10),10,10.000000,
1137,bistro-indoor-s,scene(10),10,10.000000,
1138,butte-s,scene(10),10,10.000000,
1139,field_road-s,scene(10),10,10.000000,
1140,rubble-s,scene(10),10,10.000000,
1141,hedge_maze-s,scene(10),10,10.000000,
1142,flight_of_stairs-natural-s,scene(10),10,10.000000,
1143,aquatic_theater-s,scene(10),10,10.000000,
1144,mission-s,scene(10),10,10.000000,
1145,lean-to-s,scene(10),10,10.000000,
1146,basketball_court-indoor-s,scene(10),10,10.000000,
1147,newsstand-outdoor-s,scene(10),10,10.000000,
1148,football_field-s,scene(10),10,10.000000,
1149,freeway-s,scene(10),10,10.000000,
1150,hangar-outdoor-s,scene(10),10,10.000000,
1151,cafeteria-s,scene(10),10,10.000000,
1152,building_complex-s,scene(10),10,10.000000,
1153,covered_bridge-interior-s,scene(10),10,10.000000,
1154,bayou-s,scene(10),10,10.000000,
1155,throne_room-s,scene(10),10,10.000000,
1156,hunting_lodge-indoor-s,scene(10),10,10.000000,
1157,funeral_chapel-s,scene(10),10,10.000000,
1158,beer_garden-s,scene(10),10,10.000000,
1159,bullpen-s,scene(10),10,10.000000,
1160,archaelogical_excavation-s,scene(10),10,10.000000,
1161,junkyard-s,scene(10),10,10.000000,
1162,bank_vault-s,scene(10),10,10.000000,
1163,cheese_factory-s,scene(10),10,10.000000,
1164,lake-artificial-s,scene(10),10,10.000000,
1165,florist_shop-outdoor-s,scene(10),10,10.000000,
1166,hotel_breakfast_area-s,scene(10),10,10.000000,
1167,canteen-s,scene(10),10,10.000000,
1168,catacomb-s,scene(10),10,10.000000,
1169,drainage_ditch-s,scene(10),10,10.000000,
1170,auto_mechanics-indoor-s,scene(10),10,10.000000,
1171,bleachers-indoor-s,scene(10),10,10.000000,
1172,nunnery-s,scene(10),10,10.000000,
1173,earth_fissure-s,scene(10),10,10.000000,
1174,japanese_garden-s,scene(10),10,10.000000,
1175,fort-s,scene(10),10,10.000000,
1176,circus_tent-outdoor-s,scene(10),10,10.000000,
1177,jail-outdoor-s,scene(10),10,10.000000,
1178,pub-outdoor-s,scene(10),10,10.000000,
1179,cubicle-library-s,scene(10),10,10.000000,
1180,labyrinth,object(10),10,4.205629,
1181,bullring,object(10),10,3.942011,
1182,terraces,object(8);part(2),10,3.331295,
1183,acropolis,object(10),10,3.052959,
1184,covered bridge,object(10),10,2.604297,
1185,shipyard,object(10),10,2.396738,
1186,ticket window,object(6);part(4),10,2.145827,
1187,elephant,object(10),10,2.021803,
1188,toll booth,object(10),10,1.805693,
1189,book stand,object(10),10,1.753678,
1190,skeleton,object(10),10,1.647717,
1191,baptismal font,object(10),10,1.425638,
1192,witness stand,object(10),10,1.327101,
1193,vegetables,object(10),10,1.043942,
1194,mountain pass,object(10),10,1.031784,
1195,meat,object(10),10,0.753043,
1196,canvas,object(10),10,0.536700,
1197,shore,object(10),10,0.527877,
