,synid,class_name
6626,n03275125,electrodynamometer
6627,n03275311,electroencephalograph
6628,n03275566,electrograph
6629,n03275681,electrolytic
6630,n03275864,electrolytic cell
6631,n03276179,electromagnet
6632,n03276696,electrometer
6633,n03276839,electromyograph
6634,n03277004,electron accelerator
6635,n03277149,electron gun
6636,n03277459,electronic balance
6637,n03277602,electronic converter
6638,n03277771,electronic device
6639,n03278248,electronic equipment
6640,n03278914,electronic fetal monitor
6641,n03279153,electronic instrument
6642,n03279364,electronic voltmeter
6643,n03279508,electron microscope
6644,n03279804,electron multiplier
6645,n03279918,electrophorus
6646,n03280216,electroscope
6647,n03280394,electrostatic generator
6648,n03280644,electrostatic printer
6649,n03281145,elevator
6650,n03281524,elevator
6651,n03281673,elevator shaft
6652,n03282060,embankment
6653,n03282295,embassy
6654,n03282401,embellishment
6655,n03283221,emergency room
6656,n03283413,emesis basin
6657,n03283827,emitter
6658,n03284308,empty
6659,n03284482,emulsion
6660,n03284743,enamel
6661,n03284886,enamel
6662,n03284981,enamelware
6663,n03285578,encaustic
6664,n03285730,encephalogram
6665,n03285912,enclosure
6666,n03286572,endoscope
6667,n03287351,energizer
6668,n03287733,engine
6669,n03288003,engine
6670,n03288500,engineering
6671,n03288643,enginery
6672,n03288742,English horn
6673,n03288886,English saddle
6674,n03289660,enlarger
6675,n03289985,ensemble
6676,n03290096,ensign
6677,n03290195,entablature
6678,n03290653,entertainment center
6679,n03291413,entrenching tool
6680,n03291551,entrenchment
6681,n03291741,envelope
6682,n03291819,envelope
6683,n03291963,envelope
6684,n03292085,eolith
6685,n03292362,epauliere
6686,n03292475,epee
6687,n03292603,epergne
6688,n03292736,epicyclic train
6689,n03292960,epidiascope
6690,n03293095,epilating wax
6691,n03293741,equalizer
6692,n03293863,equatorial
6693,n03294048,equipment
6694,n03294604,erasable programmable read-only memory
6695,n03294833,eraser
6696,n03295012,erecting prism
6697,n03295140,erection
6698,n03295246,Erlenmeyer flask
6699,n03295928,escape hatch
6700,n03296081,escapement
6701,n03296217,escape wheel
6702,n03296328,escarpment
6703,n03296478,escutcheon
6704,n03296963,esophagoscope
6705,n03297103,espadrille
6706,n03297226,espalier
6707,n03297495,espresso maker
6708,n03297644,espresso shop
6709,n03297735,establishment
6710,n03298089,estaminet
6711,n03298352,estradiol patch
6712,n03298716,etagere
6713,n03298858,etamine
6714,n03299406,etching
6715,n03300216,ethernet
6716,n03300443,ethernet cable
6717,n03301175,Eton jacket
6718,n03301291,etui
6719,n03301389,eudiometer
6720,n03301568,euphonium
6721,n03301833,evaporative cooler
6722,n03301940,evening bag
6723,n03302671,exercise bike
6724,n03302790,exercise device
6725,n03302938,exhaust
6726,n03303217,exhaust fan
6727,n03303669,exhaust valve
6728,n03303831,exhibition hall
6729,n03304197,Exocet
6730,n03304323,expansion bit
6731,n03304465,expansion bolt
6732,n03305300,explosive detection system
6733,n03305522,explosive device
6734,n03305953,explosive trace detection
6735,n03306385,express
6736,n03306869,extension
6737,n03307037,extension cord
6738,n03307573,external-combustion engine
6739,n03307792,external drive
6740,n03308152,extractor
6741,n03308481,eyebrow pencil
6742,n03308614,eyecup
6743,n03309110,eyeliner
6744,n03309356,eyepatch
6745,n03309465,eyepiece
6746,n03309687,eyeshadow
6747,n03309808,fabric
6748,n03313333,facade
6749,n03314227,face guard
6750,n03314378,face mask
6751,n03314608,faceplate
6752,n03314780,face powder
6753,n03314884,face veil
6754,n03315644,facing
6755,n03315805,facing
6756,n03315990,facing
6757,n03316105,facsimile
6758,n03316406,factory
6759,n03316873,factory ship
6760,n03317233,fagot
6761,n03317510,fagot stitch
6762,n03317673,Fahrenheit thermometer
6763,n03317788,faience
6764,n03317889,faille
6765,n03318136,fairlead
6766,n03318294,fairy light
6767,n03318865,falchion
6768,n03318983,fallboard
6769,n03319167,fallout shelter
6770,n03319457,false face
6771,n03319576,false teeth
6772,n03319745,family room
6773,n03320046,fan
6774,n03320262,fan belt
6775,n03320421,fan blade
6776,n03320519,fancy dress
6777,n03320845,fanion
6778,n03320959,fanlight
6779,n03321103,fanjet
6780,n03321419,fanjet
6781,n03321563,fanny pack
6782,n03321843,fan tracery
6783,n03321954,fan vaulting
6784,n03322570,farm building
6785,n03322704,farmer's market
6786,n03322836,farmhouse
6787,n03322940,farm machine
6788,n03323096,farmplace
6789,n03323211,farmyard
6790,n03323319,farthingale
6791,n03323703,fastener
6792,n03324629,fast reactor
6793,n03324814,fat farm
6794,n03324928,fatigues
6795,n03325088,faucet
6796,n03325288,fauld
6797,n03325403,fauteuil
6798,n03325584,feather boa
6799,n03325691,featheredge
6800,n03325941,fedora
6801,n03326073,feedback circuit
6802,n03326371,feedlot
6803,n03326475,fell
6804,n03326660,felloe
6805,n03326795,felt
6806,n03326948,felt-tip pen
6807,n03327133,felucca
6808,n03327234,fence
6809,n03327553,fencing mask
6810,n03327691,fencing sword
6811,n03327841,fender
6812,n03328201,fender
6813,n03329302,Ferris wheel
6814,n03329536,ferrule
6815,n03329663,ferry
6816,n03330002,ferule
6817,n03330665,festoon
6818,n03330792,fetoscope
6819,n03330947,fetter
6820,n03331077,fez
6821,n03331244,fiber
6822,n03331599,fiber optic cable
6823,n03332005,fiberscope
6824,n03332173,fichu
6825,n03332271,fiddlestick
6826,n03332393,field artillery
6827,n03332591,field coil
6828,n03332784,field-effect transistor
6829,n03332989,field-emission microscope
6830,n03333129,field glass
6831,n03333252,field hockey ball
6832,n03333349,field hospital
6833,n03333610,field house
6834,n03333711,field lens
6835,n03333851,field magnet
6836,n03334017,field-sequential color television
6837,n03334291,field tent
6838,n03334382,fieldwork
6839,n03334492,fife
6840,n03334912,fifth wheel
6841,n03335030,fighter
6842,n03335333,fighting chair
6843,n03335461,fig leaf
6844,n03335846,figure eight
6845,n03336168,figure loom
6846,n03336282,figure skate
6847,n03336575,filament
6848,n03336742,filature
6849,n03336839,file
6850,n03337140,file
6851,n03337383,file folder
6852,n03337494,file server
6853,n03337822,filigree
6854,n03338287,filling
6855,n03338821,film
6856,n03339296,film
6857,n03339529,film advance
6858,n03339643,filter
6859,n03340009,filter
6860,n03340723,finder
6861,n03340923,finery
6862,n03341035,fine-tooth comb
6863,n03341153,finger
6864,n03341297,fingerboard
6865,n03341606,finger bowl
6866,n03342015,finger paint
6867,n03342127,finger-painting
6868,n03342262,finger plate
6869,n03342432,fingerstall
6870,n03342657,finish coat
6871,n03342863,finish coat
6872,n03342961,finisher
6873,n03343047,fin keel
6874,n03343234,fipple
6875,n03343354,fipple flute
6876,n03343560,fire
6877,n03343737,fire alarm
6878,n03343853,firearm
6879,n03344305,fire bell
6880,n03344393,fireboat
6881,n03344509,firebox
6882,n03344642,firebrick
6883,n03344784,fire control radar
6884,n03344935,fire control system
6885,n03345487,fire engine
6886,n03345837,fire extinguisher
6887,n03346135,fire iron
6888,n03346289,fireman's ax
6889,n03346455,fireplace
6890,n03347037,fire screen
6891,n03347472,fire tongs
6892,n03347617,fire tower
6893,n03348142,firewall
6894,n03348868,firing chamber
6895,n03349020,firing pin
6896,n03349296,firkin
6897,n03349367,firmer chisel
6898,n03349469,first-aid kit
6899,n03349599,first-aid station
6900,n03349771,first base
6901,n03349892,first class
6902,n03350204,fishbowl
6903,n03350352,fisherman's bend
6904,n03350456,fisherman's knot
6905,n03350602,fisherman's lure
6906,n03351151,fishhook
6907,n03351262,fishing boat
6908,n03351434,fishing gear
6909,n03351979,fishing rod
6910,n03352232,fish joint
6911,n03352366,fish knife
6912,n03352628,fishnet
6913,n03352961,fish slice
6914,n03353281,fitment
6915,n03353951,fixative
6916,n03354207,fixer-upper
6917,n03354903,flag
6918,n03355468,flageolet
6919,n03355768,flagon
6920,n03355925,flagpole
6921,n03356038,flagship
6922,n03356279,flail
6923,n03356446,flambeau
6924,n03356559,flamethrower
6925,n03356858,flange
6926,n03356982,flannel
6927,n03357081,flannel
6928,n03357267,flannelette
6929,n03357716,flap
6930,n03358172,flash
6931,n03358380,flash
6932,n03358726,flash camera
6933,n03358841,flasher
6934,n03359137,flashlight
6935,n03359285,flashlight battery
6936,n03359436,flash memory
6937,n03359566,flask
6938,n03360133,flat arch
6939,n03360300,flatbed
6940,n03360431,flatbed press
6941,n03360622,flat bench
6942,n03360731,flatcar
6943,n03361109,flat file
6944,n03361297,flatlet
6945,n03361380,flat panel display
6946,n03361550,flats
6947,n03361683,flat tip screwdriver
6948,n03362639,fleece
6949,n03362771,fleet ballistic missile submarine
6950,n03362890,fleur-de-lis
6951,n03363363,flight simulator
6952,n03363549,flintlock
6953,n03363749,flintlock
6954,n03364008,flip-flop
6955,n03364156,flipper
6956,n03364599,float
6957,n03364937,floating dock
6958,n03365231,floatplane
6959,n03365374,flood
6960,n03365592,floor
6961,n03365991,floor
6962,n03366464,floor
6963,n03366721,floorboard
6964,n03366823,floor cover
6965,n03366974,floor joist
6966,n03367059,floor lamp
6967,n03367321,flophouse
6968,n03367410,florist
6969,n03367545,floss
6970,n03367875,flotsam
6971,n03367969,flour bin
6972,n03368048,flour mill
6973,n03368352,flowerbed
6974,n03369276,flugelhorn
6975,n03369407,fluid drive
6976,n03369512,fluid flywheel
6977,n03369866,flume
6978,n03370387,fluorescent lamp
6979,n03370646,fluoroscope
6980,n03371875,flush toilet
6981,n03372029,flute
6982,n03372549,flute
6983,n03372822,flux applicator
6984,n03372933,fluxmeter
6985,n03373237,fly
6986,n03373611,flying boat
6987,n03373943,flying buttress
6988,n03374102,flying carpet
6989,n03374282,flying jib
6990,n03374372,fly rod
6991,n03374473,fly tent
6992,n03374570,flytrap
6993,n03374649,flywheel
6994,n03374838,fob
6995,n03375171,foghorn
6996,n03375329,foglamp
6997,n03375575,foil
6998,n03376159,fold
6999,n03376279,folder
7000,n03376595,folding chair
7001,n03376771,folding door
7002,n03376938,folding saw
7003,n03378005,food court
7004,n03378174,food processor
7005,n03378342,food hamper
7006,n03378442,foot
7007,n03378593,footage
7008,n03378765,football
7009,n03379051,football helmet
7010,n03379204,football stadium
7011,n03379343,footbath
7012,n03379719,foot brake
7013,n03379828,footbridge
7014,n03379989,foothold
7015,n03380301,footlocker
7016,n03380647,foot rule
7017,n03380724,footstool
7018,n03380867,footwear
7019,n03381126,footwear
7020,n03381231,forceps
7021,n03381450,force pump
7022,n03381565,fore-and-after
7023,n03381776,fore-and-aft sail
7024,n03382104,forecastle
7025,n03382292,forecourt
7026,n03382413,foredeck
7027,n03382533,fore edge
7028,n03382708,foreground
7029,n03382856,foremast
7030,n03382969,fore plane
7031,n03383099,foresail
7032,n03383211,forestay
7033,n03383378,foretop
7034,n03383468,fore-topmast
7035,n03383562,fore-topsail
7036,n03383821,forge
7037,n03384167,fork
7038,n03384352,forklift
7039,n03384891,formalwear
7040,n03385295,Formica
7041,n03385557,fortification
7042,n03386011,fortress
7043,n03386343,forty-five
7044,n03386544,Foucault pendulum
7045,n03386726,foulard
7046,n03386870,foul-weather gear
7047,n03387323,foundation garment
7048,n03387653,foundry
7049,n03388043,fountain
7050,n03388183,fountain pen
7051,n03388323,four-in-hand
7052,n03388549,four-poster
7053,n03388711,four-pounder
7054,n03388990,four-stroke engine
7055,n03389611,four-wheel drive
7056,n03389761,four-wheel drive
7057,n03389889,four-wheeler
7058,n03389983,fowling piece
7059,n03390075,foxhole
7060,n03390327,fragmentation bomb
7061,n03390673,frail
7062,n03390786,fraise
7063,n03390983,frame
7064,n03391301,frame
7065,n03391613,frame buffer
7066,n03391770,framework
7067,n03392648,Francis turbine
7068,n03392741,franking machine
7069,n03393017,free house
7070,n03393199,free-reed
7071,n03393324,free-reed instrument
7072,n03393761,freewheel
7073,n03393912,freight car
7074,n03394149,freight elevator
7075,n03394272,freight liner
7076,n03394480,freight train
7077,n03394649,French door
7078,n03394916,French horn
7079,n03395256,French polish
7080,n03395401,French roof
7081,n03395514,French window
7082,n03395859,Fresnel lens
7083,n03396074,fret
7084,n03396580,friary
7085,n03396654,friction clutch
7086,n03396997,frieze
7087,n03397087,frieze
7088,n03397266,frigate
7089,n03397412,frigate
7090,n03397532,frill
7091,n03397947,Frisbee
7092,n03398153,frock
7093,n03398228,frock coat
7094,n03399579,frontlet
7095,n03399677,front porch
7096,n03399761,front projector
7097,n03399971,fruit machine
7098,n03400231,frying pan
7099,n03400972,fuel filter
7100,n03401129,fuel gauge
7101,n03401279,fuel injection
7102,n03401721,fuel system
7103,n03402188,full-dress uniform
7104,n03402369,full metal jacket
7105,n03402511,full skirt
7106,n03402785,fumigator
7107,n03402941,funeral home
7108,n03403643,funnel
7109,n03404012,funny wagon
7110,n03404149,fur
7111,n03404251,fur coat
7112,n03404360,fur hat
7113,n03404449,furnace
7114,n03404900,furnace lining
7115,n03405111,furnace room
7116,n03405265,furnishing
7117,n03405595,furnishing
7118,n03405725,furniture
7119,n03406759,fur-piece
7120,n03406966,furrow
7121,n03407369,fuse
7122,n03407865,fusee drive
7123,n03408054,fuselage
7124,n03408264,fusil
7125,n03408340,fustian
7126,n03408444,futon
7127,n03409297,gabardine
7128,n03409393,gable
7129,n03409591,gable roof
7130,n03409920,gadgetry
7131,n03410022,gaff
7132,n03410147,gaff
7133,n03410303,gaff
7134,n03410423,gaffsail
7135,n03410571,gaff topsail
7136,n03410740,gag
7137,n03410938,gaiter
7138,n03411079,gaiter
7139,n03411208,Galilean telescope
7140,n03411339,galleon
7141,n03411927,gallery
7142,n03412058,gallery
7143,n03412220,galley
7144,n03412387,galley
7145,n03412511,galley
7146,n03412906,gallows
7147,n03413124,gallows tree
7148,n03413264,galvanometer
7149,n03413428,gambling house
7150,n03413684,gambrel
7151,n03413828,game
7152,n03414029,gamebag
7153,n03414162,game equipment
7154,n03414676,gaming table
7155,n03415252,gamp
7156,n03415486,gangplank
7157,n03415626,gangsaw
7158,n03415749,gangway
7159,n03415868,gantlet
7160,n03416094,gantry
7161,n03416489,garage
7162,n03416640,garage
7163,n03416775,Garand rifle
7164,n03416900,garbage
7165,n03417042,garbage truck
7166,n03417202,garboard
7167,n03417345,garden
7168,n03417749,garden
7169,n03417970,garden rake
7170,n03418158,garden spade
7171,n03418242,garden tool
7172,n03418402,garden trowel
7173,n03418618,gargoyle
7174,n03418749,garibaldi
7175,n03418915,garlic press
7176,n03419014,garment
7177,n03420345,garment bag
7178,n03420801,garrison cap
7179,n03420935,garrote
7180,n03421117,garter
7181,n03421324,garter belt
7182,n03421485,garter stitch
7183,n03421669,gas guzzler
7184,n03421768,gas shell
7185,n03421960,gas bracket
7186,n03422072,gas burner
7187,n03422484,gas-cooled reactor
7188,n03422589,gas-discharge tube
7189,n03422771,gas engine
7190,n03423099,gas fixture
7191,n03423224,gas furnace
7192,n03423306,gas gun
7193,n03423479,gas heater
7194,n03423568,gas holder
7195,n03423719,gasket
7196,n03423877,gas lamp
7197,n03424204,gas maser
7198,n03424325,gasmask
7199,n03424489,gas meter
7200,n03424630,gasoline engine
7201,n03424862,gasoline gauge
7202,n03425241,gas oven
7203,n03425325,gas oven
7204,n03425413,gas pump
7205,n03425595,gas range
7206,n03425769,gas ring
7207,n03426134,gas tank
7208,n03426285,gas thermometer
7209,n03426462,gastroscope
7210,n03426574,gas turbine
7211,n03426871,gas-turbine ship
7212,n03427202,gat
7213,n03427296,gate
7214,n03428090,gatehouse
7215,n03428226,gateleg table
7216,n03428349,gatepost
7217,n03429003,gathered skirt
7218,n03429137,Gatling gun
7219,n03429288,gauge
7220,n03429682,gauntlet
7221,n03429771,gauntlet
7222,n03429914,gauze
7223,n03430091,gauze
7224,n03430313,gavel
7225,n03430418,gazebo
7226,n03430551,gear
7227,n03430959,gear
7228,n03431243,gear
7229,n03431570,gearbox
7230,n03431745,gearing
7231,n03432061,gearset
7232,n03432129,gearshift
7233,n03432360,Geiger counter
7234,n03432509,Geiger tube
7235,n03433247,gene chip
7236,n03433637,general-purpose bomb
7237,n03433877,generator
7238,n03434188,generator
7239,n03434285,generator
7240,n03434830,Geneva gown
7241,n03435593,geodesic dome
7242,n03435743,georgette
7243,n03435991,gharry
7244,n03436075,ghat
7245,n03436182,ghetto blaster
7246,n03436417,gift shop
7247,n03436549,gift wrapping
7248,n03436656,gig
7249,n03436772,gig
7250,n03436891,gig
7251,n03436990,gig
7252,n03437184,gildhall
7253,n03437295,gill net
7254,n03437430,gilt
7255,n03437581,gimbal
7256,n03437741,gingham
7257,n03437829,girandole
7258,n03437941,girder
7259,n03438071,girdle
7260,n03438257,glass
7261,n03438661,glass
7262,n03438780,glass cutter
7263,n03438863,glasses case
7264,n03439348,glebe house
7265,n03439631,Glengarry
7266,n03439814,glider
7267,n03440216,Global Positioning System
7268,n03440682,glockenspiel
7269,n03440876,glory hole
7270,n03441112,glove
7271,n03441345,glove compartment
7272,n03441465,glow lamp
7273,n03441582,glow tube
7274,n03442288,glyptic art
7275,n03442487,glyptics
7276,n03442597,gnomon
7277,n03442756,goal
7278,n03443005,goalmouth
7279,n03443149,goalpost
7280,n03443371,goblet
7281,n03443543,godown
7282,n03443912,goggles
7283,n03444034,go-kart
7284,n03445326,gold plate
7285,n03445617,golf bag
7286,n03445777,golf ball
7287,n03445924,golfcart
7288,n03446070,golf club
7289,n03446268,golf-club head
7290,n03446832,golf equipment
7291,n03447075,golf glove
7292,n03447358,golliwog
7293,n03447447,gondola
7294,n03447721,gong
7295,n03447894,goniometer
7296,n03448031,Gordian knot
7297,n03448590,gorget
7298,n03448696,gossamer
7299,n03448956,Gothic arch
7300,n03449217,gouache
7301,n03449309,gouge
7302,n03449451,gourd
7303,n03449564,government building
7304,n03449858,government office
7305,n03450230,gown
7306,n03450516,gown
7307,n03450734,gown
7308,n03450881,grab
7309,n03450974,grab bag
7310,n03451120,grab bar
7311,n03451253,grace cup
7312,n03451365,grade separation
7313,n03451711,graduated cylinder
7314,n03451798,graffito
7315,n03452267,gramophone
7316,n03452449,granary
7317,n03452594,grandfather clock
7318,n03452741,grand piano
7319,n03453231,graniteware
7320,n03453320,granny knot
7321,n03453443,grape arbor
7322,n03454110,grapnel
7323,n03454211,grapnel
7324,n03454442,grass skirt
7325,n03454536,grate
7326,n03454707,grate
7327,n03454885,grater
7328,n03455355,graver
7329,n03455488,gravestone
7330,n03455642,gravimeter
7331,n03455802,gravure
7332,n03456024,gravy boat
7333,n03456186,grey
7334,n03456299,grease-gun
7335,n03456447,greasepaint
7336,n03456548,greasy spoon
7337,n03456665,greatcoat
7338,n03457008,great hall
7339,n03457451,greave
7340,n03457686,greengrocery
7341,n03457902,greenhouse
7342,n03458271,grenade
7343,n03458422,grid
7344,n03459328,griddle
7345,n03459591,grill
7346,n03459775,grille
7347,n03459914,grillroom
7348,n03460040,grinder
7349,n03460147,grinding wheel
7350,n03460297,grindstone
7351,n03460455,gripsack
7352,n03460899,gristmill
7353,n03461288,grocery bag
7354,n03461385,grocery store
7355,n03461651,grogram
7356,n03461882,groined vault
7357,n03461988,groover
7358,n03462110,grosgrain
7359,n03462315,gros point
7360,n03462747,ground
7361,n03462972,ground bait
7362,n03463185,ground control
7363,n03463381,ground floor
7364,n03463666,groundsheet
7365,n03464053,G-string
7366,n03464467,guard
7367,n03464628,guard boat
7368,n03464952,guardroom
7369,n03465040,guardroom
7370,n03465151,guard ship
7371,n03465320,guard's van
7372,n03465426,gueridon
7373,n03465500,Guarnerius
7374,n03465605,guesthouse
7375,n03465718,guestroom
7376,n03465818,guidance system
7377,n03466162,guided missile
7378,n03466493,guided missile cruiser
7379,n03466600,guided missile frigate
7380,n03466839,guildhall
7381,n03466947,guilloche
7382,n03467068,guillotine
7383,n03467254,guimpe
7384,n03467380,guimpe
7385,n03467517,guitar
7386,n03467796,guitar pick
7387,n03467887,gulag
7388,n03467984,gun
7389,n03468570,gunboat
7390,n03468696,gun carriage
7391,n03468821,gun case
7392,n03469031,gun emplacement
7393,n03469175,gun enclosure
7394,n03469493,gunlock
7395,n03469832,gunnery
7396,n03469903,gunnysack
7397,n03470005,gun pendulum
7398,n03470222,gun room
7399,n03470387,gunsight
7400,n03470629,gun trigger
7401,n03470948,gurney
7402,n03471030,gusher
7403,n03471190,gusset
7404,n03471347,gusset
7405,n03471779,guy
7406,n03472232,gymnastic apparatus
7407,n03472535,gym shoe
7408,n03472672,gym suit
7409,n03472796,gymslip
7410,n03472937,gypsy cab
7411,n03473078,gyrocompass
7412,n03473227,gyroscope
7413,n03473465,gyrostabilizer
7414,n03473817,habergeon
7415,n03473966,habit
7416,n03474167,habit
7417,n03474352,hacienda
7418,n03474779,hacksaw
7419,n03474896,haft
7420,n03475581,hairbrush
7421,n03475674,haircloth
7422,n03475823,hairdressing
7423,n03475961,hairnet
7424,n03476083,hairpiece
7425,n03476313,hairpin
7426,n03476542,hair shirt
7427,n03476684,hair slide
7428,n03476991,hair spray
7429,n03477143,hairspring
7430,n03477303,hair trigger
7431,n03477410,halberd
7432,n03477512,half binding
7433,n03477773,half hatchet
7434,n03477902,half hitch
7435,n03478589,half track
7436,n03478756,hall
7437,n03478907,hall
7438,n03479121,hall
7439,n03479266,Hall of Fame
7440,n03479397,hall of residence
7441,n03479502,hallstand
7442,n03480579,halter
7443,n03480719,halter
7444,n03480973,hame
7445,n03481172,hammer
7446,n03481521,hammer
7447,n03482001,hammer
7448,n03482128,hammerhead
7449,n03482252,hammock
7450,n03482405,hamper
7451,n03482523,hand
7452,n03482877,handball
7453,n03483086,handbarrow
7454,n03483230,handbell
7455,n03483316,hand blower
7456,n03483531,handbow
7457,n03483637,hand brake
7458,n03483823,hand calculator
7459,n03483971,handcar
7460,n03484083,handcart
7461,n03484487,hand cream
7462,n03484576,handcuff
7463,n03484809,hand drill
7464,n03484931,hand glass
7465,n03485198,hand glass
7466,n03485309,hand grenade
7467,n03485407,hand-held computer
7468,n03485575,handhold
7469,n03485794,handkerchief
7470,n03487090,handlebar
7471,n03487331,handloom
7472,n03487444,hand lotion
7473,n03487533,hand luggage
7474,n03487642,hand-me-down
7475,n03487774,hand mower
7476,n03487886,hand pump
7477,n03488111,handrest
7478,n03488188,handsaw
7479,n03488438,handset
7480,n03488603,hand shovel
7481,n03488784,handspike
7482,n03488887,handstamp
7483,n03489048,hand throttle
7484,n03489162,hand tool
7485,n03490006,hand towel
7486,n03490119,hand truck
7487,n03490324,handwear
7488,n03490449,handwheel
7489,n03490649,handwheel
7490,n03490784,hangar queen
7491,n03490884,hanger
7492,n03491032,hang glider
7493,n03491724,hangman's rope
7494,n03491988,hank
7495,n03492087,hansom
7496,n03492250,harbor
7497,n03492542,hard disc
7498,n03492922,hard hat
7499,n03493219,hardtop
7500,n03493792,hardware
7501,n03493911,hardware store
7502,n03494278,harmonica
7503,n03494537,harmonium
7504,n03494706,harness
7505,n03495039,harness
7506,n03495258,harp
7507,n03495570,harp
7508,n03495671,harpoon
7509,n03495941,harpoon gun
7510,n03496183,harpoon log
7511,n03496296,harpsichord
7512,n03496486,Harris Tweed
7513,n03496612,harrow
7514,n03496892,harvester
7515,n03497100,hash house
7516,n03497352,hasp
7517,n03497657,hat
7518,n03498441,hatbox
7519,n03498536,hatch
7520,n03498662,hatchback
7521,n03498781,hatchback
7522,n03498866,hatchel
7523,n03498962,hatchet
7524,n03499354,hatpin
7525,n03499468,hauberk
7526,n03499907,Hawaiian guitar
7527,n03500090,hawse
7528,n03500209,hawser
7529,n03500295,hawser bend
7530,n03500389,hay bale
7531,n03500457,hayfork
7532,n03500557,hayloft
7533,n03500699,haymaker
7534,n03500838,hayrack
7535,n03500971,hayrack
7536,n03501152,hazard
7537,n03501288,head
7538,n03501520,head
7539,n03501614,head
7540,n03502200,headboard
7541,n03502331,head covering
7542,n03502509,headdress
7543,n03502777,header
7544,n03502897,header
7545,n03503097,header
7546,n03503233,header
7547,n03503358,headfast
7548,n03503477,head gasket
7549,n03503567,head gate
7550,n03503718,headgear
7551,n03503997,headlight
7552,n03504205,headpiece
7553,n03504293,headpin
7554,n03504723,headquarters
7555,n03505015,headrace
7556,n03505133,headrest
7557,n03505383,headsail
7558,n03505504,headscarf
7559,n03505667,headset
7560,n03505764,head shop
7561,n03506028,headstall
7562,n03506184,headstock
7563,n03506370,health spa
7564,n03506560,hearing aid
7565,n03506727,hearing aid
7566,n03506880,hearse
7567,n03507241,hearth
7568,n03507458,hearthrug
7569,n03507658,heart-lung machine
7570,n03507963,heat engine
7571,n03508101,heater
7572,n03508485,heat exchanger
7573,n03508881,heating pad
7574,n03509394,heat lamp
7575,n03509608,heat pump
7576,n03509843,heat-seeking missile
7577,n03510072,heat shield
7578,n03510244,heat sink
7579,n03510384,heaume
7580,n03510487,heaver
7581,n03510583,heavier-than-air craft
7582,n03510866,heckelphone
7583,n03510987,hectograph
7584,n03511175,hedge
7585,n03511333,hedge trimmer
7586,n03512030,helicon
7587,n03512147,helicopter
7588,n03512452,heliograph
7589,n03512624,heliometer
7590,n03512911,helm
7591,n03513137,helmet
7592,n03513376,helmet
7593,n03514129,hematocrit
7594,n03514340,hemming-stitch
7595,n03514451,hemostat
7596,n03514693,hemstitch
7597,n03514894,henroost
7598,n03515338,heraldry
7599,n03515934,hermitage
7600,n03516266,herringbone
7601,n03516367,herringbone
7602,n03516647,Herschelian telescope
7603,n03516844,Hessian boot
7604,n03516996,heterodyne receiver
7605,n03517509,hibachi
7606,n03517647,hideaway
7607,n03517760,hi-fi
7608,n03517899,high altar
7609,n03517982,high-angle gun
7610,n03518135,highball glass
7611,n03518230,highboard
7612,n03518305,highboy
7613,n03518445,highchair
7614,n03518631,high gear
7615,n03518829,high-hat cymbal
7616,n03518943,highlighter
7617,n03519081,highlighter
7618,n03519226,high-pass filter
7619,n03519387,high-rise
7620,n03519674,high table
7621,n03519848,high-warp loom
7622,n03520493,hijab
7623,n03521076,hinge
7624,n03521431,hinging post
7625,n03521544,hip boot
7626,n03521675,hipflask
7627,n03521771,hip pad
7628,n03521899,hip pocket
7629,n03522003,hippodrome
7630,n03522100,hip roof
7631,n03522634,hitch
7632,n03522863,hitch
7633,n03522990,hitching post
7634,n03523134,hitchrack
7635,n03523398,hob
7636,n03523506,hobble skirt
7637,n03523987,hockey skate
7638,n03524150,hockey stick
7639,n03524287,hod
7640,n03524425,hodoscope
7641,n03524574,hoe
7642,n03524745,hoe handle
7643,n03524976,hogshead
7644,n03525074,hoist
7645,n03525252,hold
7646,n03525454,holder
7647,n03525693,holding cell
7648,n03525827,holding device
7649,n03526062,holding pen
7650,n03527149,hollowware
7651,n03527444,holster
7652,n03527565,holster
7653,n03527675,holy of holies
7654,n03528100,home
7655,n03528263,home appliance
7656,n03528523,home computer
7657,n03528901,home plate
7658,n03529175,home room
7659,n03529444,homespun
7660,n03529629,homestead
7661,n03529860,home theater
7662,n03530189,homing torpedo
7663,n03530511,hone
7664,n03530642,honeycomb
7665,n03530910,hood
7666,n03531281,hood
7667,n03531447,hood
7668,n03531546,hood
7669,n03531691,hood
7670,n03531982,hood latch
7671,n03532342,hook
7672,n03532672,hook
7673,n03532919,hook
7674,n03533014,hookah
7675,n03533392,hook and eye
7676,n03533486,hookup
7677,n03533654,hookup
7678,n03533845,hook wrench
7679,n03534580,hoopskirt
7680,n03534695,hoosegow
7681,n03534776,Hoover
7682,n03535024,hope chest
7683,n03535284,hopper
7684,n03535647,hopsacking
7685,n03535780,horizontal bar
7686,n03536122,horizontal stabilizer
7687,n03536568,horizontal tail
7688,n03536761,horn
7689,n03537085,horn
7690,n03537241,horn
7691,n03537412,horn button
7692,n03537550,hornpipe
7693,n03538037,horse
7694,n03538179,horsebox
7695,n03538300,horsecar
7696,n03538406,horse cart
7697,n03538542,horsecloth
7698,n03538634,horse-drawn vehicle
7699,n03538817,horsehair
7700,n03538957,horsehair wig
7701,n03539103,horseless carriage
7702,n03539293,horse pistol
7703,n03539433,horseshoe
7704,n03539546,horseshoe
7705,n03539678,horse-trail
